VideoAnalysis: Time (s),VideoAnalysis: X (m),VideoAnalysis: Y (m),VideoAnalysis: X Velocity (m/s),VideoAnalysis: Y Velocity (m/s),VideoAnalysis: Kinetic Energy (J),VideoAnalysis: Potential Energy (J),VideoAnalysis: Mechanical Energy (J)
11.86666667,2.496856787,2.401055359,0,-0.08050559813,9.51E-05,0.6908508564,0.6909459997
11.9,2.496856787,2.399984682,0,-0.1553067662,0.0003540844129,0.6905427925,0.6908968769
11.93333333,2.496856787,2.395789731,0,-0.3019486493,0.001338419446,0.6893357878,0.6906742073
11.96666667,2.496856787,2.378184983,0,-0.4333611667,0.002756931903,0.6842704087,0.6870273406
12,2.496856787,2.369391384,0,-0.6520163604,0.006240839907,0.6817402442,0.6879810841
12.03333333,2.496856787,2.34176439,-0.0006289499854,-1.053813014,0.01630246102,0.6737911845,0.6900936455
12.06666667,2.496856787,2.293267958,-0.004622051055,-1.311521614,0.02525090568,0.6598374032,0.6850883088
12.1,2.496856787,2.252915698,-0.01679150193,-1.543457891,0.03497160999,0.6482269278,0.6831985378
12.13333333,2.496102047,2.192132801,-0.03775162587,-1.823208994,0.04879765638,0.6307379865,0.6795356429
12.16666667,2.493574546,2.135773031,-0.03810266772,-2.218116451,0.07222619584,0.6145217028,0.6867478986
12.2,2.493346368,2.045432411,-0.02931199467,-2.650980308,0.103166586,0.5885281767,0.6916947627
12.23333333,2.491626263,1.951704236,-0.01679150193,-2.888738029,0.1225017727,0.5615599565,0.6840617291
12.26666667,2.491626263,1.855466112,0.003846833631,-3.176680109,0.1481402328,0.5338695536,0.6820097864
12.3,2.492644285,1.73835855,0.0006143232415,-3.437665099,0.1734815068,0.500174429,0.6736559358
12.33333333,2.494223973,1.627587294,-0.06312902644,-3.741433315,0.2054953853,0.4683024369,0.6737978223
12.36666667,2.48639574,1.497403423,-0.074859675,-4.255358587,0.265826566,0.4308448921,0.6966714581
12.4,2.48639574,1.334046097,-0.005251001041,-4.51942982,0.2998426098,0.3838424154,0.6836850253
12.43333333,2.487799907,1.194840451,0.02199862274,-4.731693127,0.3286693434,0.3437890532,0.6724583965
12.46666667,2.486781886,1.02146088,0.07453788664,-4.91234804,0.3542454768,0.293902896,0.6481483728
12.5,2.496031839,0.8564887612,0.03927280723,-4.507318876,0.2982377563,0.2464357983,0.5446735546
12.53333333,2.48823871,0.6855664834,0.02350517736,-2.876729473,0.1214854037,0.1972566731,0.3187420768
12.56666667,2.496224912,0.5931898199,0.03668387356,0.6647123741,0.006486248491,0.1706773205,0.177163569
12.6,2.495136682,0.7532649046,-0.05790727888,3.536907556,0.1836426171,0.2167354045,0.4003780215
12.63333333,2.489204075,0.9170434808,-0.06914061816,3.977860003,0.2322870746,0.2638590866,0.4961461612
12.66666667,2.489204075,1.028165779,-0.04635215125,3.815210611,0.2136796139,0.2958320833,0.5095116972
12.7,2.486834542,1.158296994,-0.03814654795,3.757669001,0.2072827204,0.3332744774,0.5405571978
12.73333333,2.486834542,1.289569094,-0.04232979669,3.430936797,0.1728030848,0.3710451364,0.5438482212
12.76666667,2.486834542,1.391248367,-0.1109145986,2.992251495,0.1314383931,0.4003011101,0.5317395032
12.8,2.477795214,1.487223209,-0.1300024993,2.57860718,0.097610476,0.4279157596,0.5255262356
12.83333333,2.472634899,1.560432988,-0.01190616949,2.240641636,0.07370057215,0.4489802627,0.5226808348
12.86666667,2.480059434,1.633572558,0.03026273302,1.995614423,0.05846276128,0.4700245648,0.5284873261
12.9,2.478953653,1.697953633,-0.03633283171,1.630867312,0.03904480982,0.488548803,0.5275936128
12.93333333,2.475811828,1.741079125,-0.06564482638,1.287957929,0.02435170701,0.5009572144,0.5253089214
12.96666667,2.472231201,1.786732118,-0.03434359455,0.8777508982,0.01131015666,0.5140928588,0.5254030154
13,2.473635368,1.797807488,0.005294881272,0.5190885123,0.003955568332,0.517279553,0.5212351213
13.03333333,2.473635368,1.814271351,0.01361749852,0.3256644517,0.001556921679,0.5220166673,0.523573589
13.06666667,2.474390108,1.827365212,0.0154458415,-0.05319746737,4.15E-05,0.5257841378,0.5258256817
13.1,2.476935162,1.814148486,-0.04158383275,-0.5158267485,0.003906013801,0.5219813157,0.5258873295
13.13333333,2.471248284,1.783607845,-0.08423541781,-0.7620533544,0.008525047622,0.5131939181,0.5217189657
13.16666667,2.468229324,1.766599867,-0.04567932103,-1.060541316,0.01651129892,0.5083002467,0.5248115456
13.2,2.468229324,1.715646143,-0.007635160287,-1.423050535,0.02972806909,0.4936394333,0.5233675024
13.23333333,2.469387762,1.662902104,-0.01541658801,-1.58761603,0.03700130201,0.4784634967,0.5154647987
13.26666667,2.469387762,1.620110103,-0.07930620513,-2.008427451,0.05921590252,0.4661510396,0.5253669421
13.3,2.462928592,1.53026094,-0.1121286183,-2.445869479,0.08781983383,0.4402989199,0.5281187537
13.33333333,2.458224631,1.447309751,-0.04859004305,-2.661292162,0.1039707473,0.41643154,0.5204022873
13.36666667,2.461208487,1.355266577,-0.01755209261,-2.926913831,0.1257609847,0.3899481417,0.5157091264
13.4,2.458680986,1.258712516,-0.0270887296,-3.344536621,0.1642093821,0.3621668347,0.5263762168
13.43333333,2.458680986,1.12849354,-0.02600635056,-3.691921787,0.2000926056,0.3246991894,0.524791795
13.46666667,2.45696088,1.010490822,-0.01733269146,-3.982906229,0.232876797,0.2907465032,0.5236233002
13.5,2.45696088,0.8682311112,0.001111632532,-4.188426607,0.2575300281,0.2498144012,0.5073444292
13.53333333,2.455240775,0.7121052474,0.04679095356,-3.592416049,0.189452051,0.2048926186,0.3943446697
13.56666667,2.466210833,0.55796277,-0.06463558105,-1.020156876,0.01527777037,0.1605415119,0.1758192823
13.6,2.452906347,0.6296630684,-0.2379478689,1.96589288,0.05673430708,0.1811716953,0.2379060024
13.63333333,2.443744155,0.7524926125,-0.259756344,3.223500316,0.1525392089,0.2165131944,0.3690524033
13.66666667,2.440058215,0.8754976775,-0.3693837891,3.395335302,0.1692354707,0.2519051958,0.4211406664
13.7,2.419171225,0.9863566945,-0.4535753267,3.116564191,0.1425864342,0.283802439,0.4263888732
13.73333333,2.400285173,1.08261237,-0.3087266823,2.790958247,0.1143490957,0.3114978921,0.4258469878
13.76666667,2.401970174,1.168740489,-0.2439302071,2.549031903,0.09538423431,0.3362793634,0.4316635977
13.8,2.391895273,1.256764233,-0.3739619599,2.206546696,0.07147469338,0.3616062593,0.4330809527
13.83333333,2.372570419,1.316388692,-0.4122401485,1.846363129,0.05004495389,0.3787618855,0.4288068394
13.86666667,2.362653487,1.376873203,-0.4054679661,1.542682673,0.03493648912,0.396164973,0.4311014621
13.9,2.347909729,1.422596404,-0.4378808305,1.138209326,0.01901824049,0.4093208182,0.4283390587
13.93333333,2.330954408,1.455699651,-0.4095049474,0.6608655404,0.006411391094,0.4188455492,0.4252569403
13.96666667,2.320177423,1.467284032,-0.3660635182,0.1645216148,0.0003973488702,0.4221787,0.4225760489
14,2.308908979,1.460491372,-0.3732013692,-0.168105167,0.0004148472166,0.4202242616,0.4206391088
14.03333333,2.291988762,1.456384183,-0.317254074,-0.49147322,0.003545894193,0.4190425081,0.4225884023
14.06666667,2.289549021,1.429810314,-0.3111693486,-0.8358452771,0.01025599596,0.4113964621,0.4216524581
14.1,2.277982192,1.396636859,-0.4646038915,-1.085084992,0.01728437058,0.4018515303,0.4191359009
14.13333333,2.251074834,1.354002826,-0.43779307,-1.2659008,0.02352477097,0.3895845252,0.4131092962
14.16666667,2.246335769,1.321461247,-0.339808513,-1.677994681,0.04133397906,0.3802214016,0.4215553806
14.2,2.234610971,1.245425581,-0.375614782,-2.177132314,0.06958180708,0.3583438117,0.4279256188
14.23333333,2.216269034,1.167037936,-0.2990584047,-2.451778684,0.08824469071,0.3357894912,0.4240341819
14.26666667,2.215093044,1.082208672,-0.2397908386,-2.738930919,0.110125581,0.3113817369,0.4215073179
14.3,2.205790435,0.9892703419,-0.2992046721,-3.146783044,0.145364935,0.2846407769,0.4300057119
14.33333333,2.189502093,0.8773933035,-0.2341887957,-3.701107382,0.2010895152,0.2524506204,0.4535401356
14.36666667,2.18822079,0.738749324,-0.1335714248,-3.932882765,0.2270638813,0.2125588655,0.4396227468
14.4,2.190028656,0.5974900826,-0.2535107243,-3.373014891,0.1670177284,0.1719146265,0.3389323549
14.43333333,2.168562447,0.4345540069,-0.3013694302,-0.6383842351,0.005982605457,0.1250333553,0.1310159607
14.46666667,2.161752235,0.5460273471,-0.1372281108,2.341800197,0.0805055334,0.1571073565,0.2376128899
14.5,2.161752235,0.6735081957,-0.01184766251,3.099143739,0.1409968774,0.1937871661,0.3347840435
14.53333333,2.161752235,0.770220226,0.0917389374,3.078958833,0.1391662164,0.2216139252,0.3607801416
14.56666667,2.169668229,0.88013143,0.1253219413,2.765712487,0.1122897504,0.2532384561,0.3655282065
14.6,2.172494115,0.9619943899,0.08501063523,2.260109832,0.07498685594,0.2767927218,0.3517795778
14.63333333,2.175179586,1.021794369,0.036830141,1.970134636,0.05697939948,0.2939988503,0.3509782498
14.66666667,2.175179586,1.094056335,-0.02110639137,1.650423269,0.03998680745,0.3147906411,0.3547774485
14.7,2.173880731,1.139165213,-0.07051553208,1.167784602,0.02001942247,0.3277697283,0.3477891508
14.73333333,2.169141666,1.168722937,-0.07740472843,0.7775577028,0.008875469004,0.3362743131,0.3451497822
14.76666667,2.166087602,1.184116122,-0.013076309,0.5399462491,0.004279835853,0.3407033635,0.3449831994
14.8,2.169492708,1.204371237,0.02534814708,0.3136120148,0.001443814639,0.3465313272,0.3479751419
14.83333333,2.169492708,1.219360724,0.01916103444,-0.2729642936,0.001093799542,0.3508442224,0.3519380219
14.86666667,2.169492708,1.180570599,0.03649372589,-0.7397329432,0.008032966865,0.3396832174,0.3477161843
14.9,2.172599428,1.162755225,0.03365613759,-1.02912307,0.01554750423,0.3345572355,0.3501047397
14.93333333,2.172599428,1.119454213,0.0146121171,-1.458213228,0.0312153438,0.3220983217,0.3533136655
14.96666667,2.172599428,1.06063715,0.0196144635,-1.758953708,0.04541871839,0.305175006,0.3505937244
15,2.172599428,0.9956417515,0.05533297197,-1.911466766,0.0536363923,0.2864740099,0.3401104022
15.03333333,2.177707087,0.9433540676,0.05533297197,-2.320137989,0.07902303143,0.2714293792,0.3504524106
15.06666667,2.177707087,0.8423417746,0.01702552984,-2.782913538,0.1136908419,0.2423653141,0.356056156
15.1,2.177707087,0.7558801664,0.006699048681,-3.142365768,0.1449571112,0.2174878885,0.3624449997
15.13333333,2.177707087,0.6292593702,0.02321264248,-3.151200321,0.1457733316,0.1810555401,0.3268288717
15.16666667,2.177707087,0.5075531601,0.0846010864,-1.931008096,0.05473867046,0.1460372556,0.2007759261
15.2,2.180638286,0.4499471921,0.2140185159,0.6493250395,0.006189425742,0.1294624057,0.1356518314
15.23333333,2.19676866,0.5740404869,0.230005547,2.607465745,0.09980752334,0.1651675212,0.2649750446
